State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key
Alabama,22.0,2008,429900.0,509400.0,1274800.0,2002980.0,2582591.0,64.1,56105.0,174526.3,25.48,2220095.0,0.0,Low,0,1,Alabama2008
Alaska,27.3,2008,74100.0,79700.0,189300.0,650500.0,443538.0,0.4,80720.0,55122.5,43.21,242650.0,0.0,Low,0,1,Alaska2008
Arizona,25.1,2008,572900.0,801300.0,1691800.0,1465564.0,3402808.0,61.7,59180.0,262926.0,26.71,2234963.0,0.0,Low,0,1,Arizona2008
Arkansas,18.8,2008,250300.0,314800.0,763200.0,1110210.0,1579283.0,61.7,49936.0,99706.8,22.47,957446.0,0.0,Low,0,1,Arkansas2008
California,29.6,2008,3619900.0,4515600.0,10346900.0,8075631.0,20654292.0,58.9,71921.0,1944695.3,36.69,19919068.0,23.0,Low,0,1,California2008
Colorado,35.6,2008,449500.0,636000.0,1442600.0,1487480.0,3251097.0,46.3,76877.0,258871.7,25.25,734665.0,0.0,Low,0,1,Colorado2008
Connecticut,35.6,2008,278400.0,346300.0,1060800.0,774606.0,2256043.0,49.4,81594.0,238936.8,52.16,2018461.0,0.0,Low,0,1,Connecticut2008
Delaware,27.5,2008,76300.0,91700.0,242800.0,291507.0,544911.0,56.0,63959.0,55459.8,36.35,461882.0,0.0,Low,0,1,Delaware2008
District of Columbia,48.2,2008,62300.0,90200.0,159200.0,184106.0,794912.0,59.2,70125.0,99496.5,38.61,171255.0,0.0,Low,0,1,District of Columbia2008
Florida,25.8,2008,1527100.0,1927000.0,5022200.0,4264867.0,10269499.0,71.5,56585.0,763341.5,31.48,8180462.0,0.0,Low,0,1,Florida2008
Georgia,27.5,2008,853400.0,1158000.0,2789300.0,2946558.0,5450887.0,64.4,58314.0,416377.6,25.91,4260495.0,0.0,Low,0,1,Georgia2008
Hawaii,29.1,2008,117400.0,134000.0,347800.0,276654.0,858402.0,76.9,77606.0,65678.2,85.78,488217.0,0.0,Low,0,1,Hawaii2008
Idaho,24.0,2008,142700.0,180100.0,396700.0,537298.0,921093.0,44.7,59818.0,56200.8,16.69,534911.0,0.0,Low,0,1,Idaho2008
Illinois,29.9,2008,1190900.0,1538400.0,3655400.0,4083964.0,7553059.0,53.4,67178.0,654657.5,27.1,5779977.0,0.0,Low,0,1,Illinois2008
Indiana,22.9,2008,532800.0,739300.0,1797900.0,2917143.0,3682931.0,52.9,58683.0,275538.7,20.84,3135611.0,0.0,Low,0,1,Indiana2008
Iowa,24.3,2008,279600.0,311300.0,824500.0,1441784.0,1997615.0,48.5,63252.0,137548.5,20.2,1798052.0,0.0,Low,0,1,Iowa2008
Kansas,29.6,2008,262700.0,316700.0,757100.0,1119535.0,1858069.0,55.3,60395.0,128604.3,21.89,884039.0,0.0,Low,0,1,Kansas2008
