"df$Key","Percentage_pop_with_bachelors disc","Adults.19.25 disc","Adults.26.34 disc","Adults.35.54 disc","num_jobs_tot disc","EnergyC_addunit disc","Av_temperature disc","Median_income disc","GDP disc","Tot_vehicle disc","Elec_price disc","label"
"Alabama2008","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Alaska2008","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Low Av_temperature","High Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Arizona2008","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Arkansas2008","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"California2008","Low Percentage_pop_with_bachelors","High Adults.19.25","High Adults.26.34","High Adults.35.54","High num_jobs_tot","Medium EnergyC_addunit","High Av_temperature","Medium Median_income","Medium GDP","High Tot_vehicle","Low Elec_price","1"
"Colorado2008","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Connecticut2008","Medium Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","Medium Av_temperature","High Median_income","Low GDP","Low Tot_vehicle","Medium Elec_price","1"
"Delaware2008","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"District of Columbia2008","High Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Florida2008","Low Percentage_pop_with_bachelors","Medium Adults.19.25","Medium Adults.26.34","Medium Adults.35.54","Medium num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Medium Tot_vehicle","Low Elec_price","1"
"Georgia2008","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Low Median_income","Low GDP","Low Tot_vehicle","Low Elec_price","1"
"Hawaii2008","Low Percentage_pop_with_bachelors","Low Adults.19.25","Low Adults.26.34","Low Adults.35.54","Low num_jobs_tot","Low EnergyC_addunit","High Av_temperature","Medium Median_income","Low GDP","Low Tot_vehicle","High Elec_price","1"
