State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key,norm_Av_temperature,norm_Percentage_pop_with_bachelors,norm_Adults 19-25,norm_Adults 26-34,norm_Adults 35-54,norm_EnergyC_addunit,norm_num_jobs_tot,norm_Median_income,norm_GDP,norm_Elec_price,norm_Tot_vehicle
Alabama,22.0,2008,429900.0,509400.0,1274800.0,2002980.0,2582591.0,64.1,56105.0,174526.3,25.48,2220095.0,0.0,Low,0,1,Alabama2008,0.8207043756670223,0.10537634408602148,0.10239033359600735,0.08583805652563882,0.11223211664546433,0.13306106988506275,0.09216785537352372,0.2897657601006131,0.04923501044918432,0.10738255033557048,0.10397371954530081
Alaska,27.3,2008,74100.0,79700.0,189300.0,650500.0,443538.0,0.4,80720.0,55122.5,43.21,242650.0,0.0,Low,0,1,Alaska2008,0.1408751334044824,0.2193548387096774,0.008930916732335172,0.003835804660216408,0.00600841569625208,0.037197571885219535,0.0024526987613323918,0.6767332180474768,0.009654009414542034,0.3198705656759348,0.00416701429640221
Arizona,25.1,2008,572900.0,801300.0,1691800.0,1465564.0,3402808.0,61.7,59180.0,262926.0,26.71,2234963.0,0.0,Low,0,1,Arizona2008,0.7950907150480256,0.17204301075268819,0.13995271867612294,0.14154310032251294,0.15303845777473335,0.09496913681316244,0.12656901168474263,0.338107215846565,0.07853850512156549,0.12212368168744009,0.10472414552106278
Arkansas,18.8,2008,250300.0,314800.0,763200.0,1110210.0,1579283.0,61.7,49936.0,99706.8,22.47,957446.0,0.0,Low,0,1,Arkansas2008,0.7950907150480256,0.036559139784946224,0.055214079327554504,0.048701360661056084,0.062168509638907916,0.06978172001717559,0.050087582303962354,0.1927841534349945,0.024433197551174218,0.07130872483221476,0.040244596067370166
California,29.6,2008,3619900.0,4515600.0,10346900.0,8075631.0,20654292.0,58.9,71921.0,1944695.3,36.69,19919068.0,23.0,Low,0,1,California2008,0.7652081109925294,0.26881720430107525,0.9403204623062779,0.8503654510410107,1.0,0.5634892958050364,0.8501226538117553,0.5384059110202798,0.636025891648038,0.2417305848513902,0.9972861410888657
Colorado,35.6,2008,449500.0,636000.0,1442600.0,1487480.0,3251097.0,46.3,76877.0,258871.7,25.25,734665.0,0.0,Low,0,1,Colorado2008,0.630736392742796,0.3978494623655914,0.10753874441817704,0.10999790080341978,0.12865251003033565,0.09652253828465522,0.12020602015307316,0.6163181889639994,0.07719455080441018,0.10462607861936722,0.029000269372036095
Connecticut,35.6,2008,278400.0,346300.0,1060800.0,774606.0,2256043.0,49.4,81594.0,238936.8,52.16,2018461.0,0.0,Low,0,1,Connecticut2008,0.663820704375667,0.3978494623655914,0.06259521933280798,0.054712696322589266,0.09129073294842939,0.04599417906814907,0.07847193247614911,0.6904731960383588,0.0705863582885481,0.4271332694151486,0.09379673601040785
Delaware,27.5,2008,76300.0,91700.0,242800.0,291507.0,544911.0,56.0,63959.0,55459.8,36.35,461882.0,0.0,Low,0,1,Delaware2008,0.7342582710779082,0.2236559139784946,0.009508799579721566,0.006125837293181428,0.011243761620510813,0.011752223534443397,0.00670443753136178,0.4132369124351517,0.009765820526491444,0.2376558005752637,0.01523221388735242
District of Columbia,48.2,2008,62300.0,90200.0,159200.0,184106.0,794912.0,59.2,70125.0,99496.5,38.61,171255.0,0.0,Low,0,1,District of Columbia2008,0.768409818569904,0.6688172043010753,0.0058313632781717886,0.0058395832140608,0.0030629220080242684,0.004139663238778276,0.0171898620945701,0.5101713567049206,0.02436348549412423,0.2647411313518696,0.0005635260976178619
Florida,25.8,2008,1527100.0,1927000.0,5022200.0,4264867.0,10269499.0,71.5,56585.0,763341.5,31.48,8180462.0,0.0,Low,0,1,Florida2008,0.8996798292422625,0.18709677419354837,0.39059627002889413,0.3563672448999065,0.4789411879831686,0.2933831448143566,0.4145685416040689,0.2973117434365666,0.24442054927134158,0.17929050814956857,0.404808682006589
Georgia,27.5,2008,853400.0,1158000.0,2789300.0,2946558.0,5450887.0,64.4,58314.0,416377.6,25.91,4260495.0,0.0,Low,0,1,Georgia2008,0.8239060832443971,0.2236559139784946,0.2136327817178881,0.20961432033739813,0.2604364419219102,0.19994168010901878,0.2124685795024359,0.32449300424461563,0.1294059644349836,0.112535953978907,0.20695792461287674
Hawaii,29.1,2008,117400.0,134000.0,347800.0,276654.0,858402.0,76.9,77606.0,65678.2,85.78,488217.0,0.0,Low,0,1,Hawaii2008,0.9573105656350054,0.25806451612903225,0.020304701864985553,0.014198202324383123,0.021518739602700853,0.01069944601773951,0.0198527298651714,0.6277786511554787,0.013153103853926486,0.8300575263662513,0.016561408672911435
Idaho,24.0,2008,142700.0,180100.0,396700.0,537298.0,921093.0,44.7,59818.0,56200.8,16.69,534911.0,0.0,Low,0,1,Idaho2008,0.6136606189967982,0.1483870967741935,0.02695035460992908,0.02299574435602374,0.0263039436344065,0.029173837929391537,0.02248208635291382,0.3481370853639365,0.010011453594841613,0.0020373921380632994,0.018918174244086396
Illinois,29.9,2008,1190900.0,1538400.0,3655400.0,4083964.0,7553059.0,53.4,67178.0,654657.5,27.1,5779977.0,0.0,Low,0,1,Illinois2008,0.7065101387406617,0.275268817204301,0.30228526398739164,0.28220835480238926,0.3451903317350034,0.2805607782147281,0.3006368905287468,0.46384216318188964,0.20839303995883174,0.12679769894534998,0.28365006629317985
Indiana,22.9,2008,532800.0,739300.0,1797900.0,2917143.0,3682931.0,52.9,58683.0,275538.7,20.84,3135611.0,0.0,Low,0,1,Indiana2008,0.7011739594450374,0.12473118279569886,0.12941949041239822,0.12971126505219366,0.16342107838340347,0.1978567510944194,0.13831779902927166,0.3302939789341299,0.08271947165487208,0.051773729626078624,0.1501821529341691
Iowa,24.3,2008,279600.0,311300.0,824500.0,1441784.0,1997615.0,48.5,63252.0,137548.5,20.2,1798052.0,0.0,Low,0,1,Iowa2008,0.6542155816435432,0.15483870967741933,0.06291042815865511,0.04803343447644129,0.06816713964184362,0.09328361541363248,0.06763306663552927,0.40212230781323693,0.03697729051013049,0.04410354745925216,0.08267213022000432
Kansas,29.6,2008,262700.0,316700.0,757100.0,1119535.0,1858069.0,55.3,60395.0,128604.3,21.89,884039.0,0.0,Low,0,1,Kansas2008,0.7267876200640341,0.26881720430107525,0.05847123719464145,0.04906394916127555,0.061571582346609255,0.07044267405631002,0.06178029382223066,0.3572079861656972,0.03401238998389893,0.0643576222435283,0.03653955708413376
Kentucky,19.7,2008,348600.0,492200.0,1229700.0,2008086.0,2402591.0,57.3,51907.0,159883.8,18.41,1972534.0,0.0,Low,0,1,Kentucky2008,0.7481323372465314,0.05591397849462361,0.08103493564486472,0.08255567641838896,0.1078187689597808,0.13342298209137057,0.08461837988591568,0.2237698475082534,0.044381188312453745,0.022651006711409405,0.09147868289036346
Louisiana,20.3,2008,432300.0,489200.0,1194900.0,4228087.0,2550836.0,67.3,49907.0,212392.4,27.81,1957262.0,0.0,Low,0,1,Louisiana2008,0.854855923159018,0.06881720430107525,0.1030207512477016,0.0819831682601477,0.10441334768568353,0.290776186148473,0.0908360020729182,0.19232825027511397,0.061787191730499215,0.13530680728667305,0.09070786600162006
Maine,25.4,2008,95500.0,126800.0,403500.0,455348.0,823517.0,40.8,59576.0,50713.2,40.44,561893.0,0.0,Low,0,1,Maine2008,0.5720384204909285,0.17849462365591393,0.014552140793275546,0.012824182744604111,0.026969370779919757,0.023365239161877674,0.018389599574142476,0.3443326520987266,0.008192376636841086,0.286673058485139,0.02028002477394982
Maryland,35.2,2008,497500.0,618300.0,1668900.0,1466522.0,3430882.0,55.5,80369.0,295400.2,38.12,2650579.0,0.0,Low,0,1,Maryland2008,0.7289220917822838,0.389247311827957,0.120147097452062,0.10662010266979638,0.15079753400528428,0.09503703965171373,0.12774647821162657,0.6712152177330608,0.08930333290593401,0.25886864813039306,0.1257013477232612
Massachusetts,38.1,2008,566900.0,726200.0,1933600.0,1435841.0,4215669.0,48.2,76091.0,390778.4,47.58,3236056.0,0.0,Low,0,1,Massachusetts2008,0.6510138740661686,0.45161290322580644,0.13837667454688732,0.12721131276120684,0.17670026421371954,0.09286237682332943,0.16066164609770128,0.6039616412513755,0.12092012092174521,0.37224352828379675,0.15525186891045448
Michigan,24.7,2008,882400.0,1078700.0,2888600.0,2915379.0,5337644.0,46.0,62806.0,390420.9,26.24,4388023.0,0.0,Low,0,1,Michigan2008,0.6275346851654215,0.16344086021505372,0.22125032834252692,0.1944810213545543,0.27015363538506704,0.19773171914535417,0.20771899476552924,0.3951108316302468,0.12080161373964646,0.11649089165867689,0.2133945888472709
