State,Percentage_pop_with_bachelors,Year,Av_temperature,Median_income,Elec_price,Key,perc_of_tot,Gdp_per_working_pop,Energy_per_working_pop,num_jobs_per_working_pop,charging_ports_per_w_pop,label
Alabama,22.0,2008,64.1,56105.0,25.48,Alabama2008,0.0,0.07882494015627117,0.9046474865633892,1.1664292489047468,1.1664292489047468,0
Alaska,27.3,2008,0.4,80720.0,43.21,Alaska2008,0.0,0.16066015738851647,1.8959487030020403,1.2927368114252404,1.2927368114252404,0
Arizona,25.1,2008,61.7,59180.0,26.71,Arizona2008,0.0,0.08575538160469667,0.4780052185257665,1.1098525766470972,1.1098525766470972,0
Arkansas,18.8,2008,61.7,49936.0,22.47,Arkansas2008,0.0,0.07506346457878492,0.835812692915757,1.1889505382820147,1.1889505382820147,0
California,29.6,2008,58.9,71921.0,36.69,California2008,0.00011546724977293115,0.10521876487902004,0.43693627450980393,1.1175113621607584,1.1175113621607584,0
Colorado,35.6,2008,46.3,76877.0,25.25,Colorado2008,0.0,0.10239772952019303,0.5883786242632807,1.2859843360626557,1.2859843360626557,0
Connecticut,35.6,2008,49.4,81594.0,52.16,Connecticut2008,0.0,0.14176018985464253,0.45957045387125484,1.3385007416196975,1.3385007416196975,0
Delaware,27.5,2008,56.0,63959.0,36.35,Delaware2008,0.0,0.13500438169425513,0.709608081791626,1.3264629990262902,1.3264629990262902,0
District of Columbia,48.2,2008,59.2,70125.0,38.61,District of Columbia2008,0.0,0.31920596727622713,0.590651267244145,2.5502470324029516,2.5502470324029516,0
Florida,25.8,2008,71.5,56585.0,31.48,Florida2008,0.0,0.09005597961374656,0.5031519648903413,1.211554451824499,1.211554451824499,0
Georgia,27.5,2008,64.4,58314.0,25.91,Georgia2008,0.0,0.08673268481679755,0.6137767408919532,1.1354358739350512,1.1354358739350512,0
Hawaii,29.1,2008,76.9,77606.0,85.78,Hawaii2008,0.0,0.10960981308411215,0.4617056074766355,1.4325801068090789,1.4325801068090789,0
Idaho,24.0,2008,44.7,59818.0,16.69,Idaho2008,0.0,0.0781109103544128,0.7467658095899931,1.2801848505906879,1.2801848505906879,0
Illinois,29.9,2008,53.4,67178.0,27.1,Illinois2008,0.0,0.1025353579651354,0.6396485347784547,1.1829935627359156,1.1829935627359156,0
Indiana,22.9,2008,52.9,58683.0,20.84,Indiana2008,0.0,0.08975201954397395,0.9502094462540717,1.1996517915309446,1.1996517915309446,0
Iowa,24.3,2008,48.5,63252.0,20.2,Iowa2008,0.0,0.09717994913098771,1.0186406669492722,1.4113430832273561,1.4113430832273561,0
Kansas,29.6,2008,55.3,60395.0,21.89,Kansas2008,0.0,0.0962246913580247,0.8376618032173587,1.3902499064721288,1.3902499064721288,0
Kentucky,19.7,2008,57.3,51907.0,18.41,Kentucky2008,0.0,0.07721989857522336,0.9698555904370925,1.1603916928278193,1.1603916928278193,0
Louisiana,20.3,2008,67.3,49907.0,27.81,Louisiana2008,0.0,0.10035550935550935,1.9977731052731054,1.2052712152712153,1.2052712152712153,0
Maine,25.4,2008,40.8,59576.0,40.44,Maine2008,0.0,0.08103739213806327,0.72762543943752,1.3159427932246723,1.3159427932246723,0
Maryland,35.2,2008,55.5,80369.0,38.12,Maryland2008,0.0,0.10607972133443459,0.5266355442237943,1.2320472582324846,1.2320472582324846,0
Massachusetts,38.1,2008,48.2,76091.0,47.58,Massachusetts2008,0.0,0.1211077571512691,0.4449874484767719,1.3064954907490625,1.3064954907490625,0
Michigan,24.7,2008,46.0,62806.0,26.24,Michigan2008,0.0,0.08050413427634699,0.6011462564694723,1.1006132338082768,1.1006132338082768,0
Minnesota,31.5,2008,41.9,69286.0,22.89,Minnesota2008,0.0,0.10280267558528428,0.735499173490178,1.3556679352631376,1.3556679352631376,0
Mississippi,19.4,2008,64.7,45975.0,26.59,Mississippi2008,0.0,0.06909459755830105,0.8524460852401491,1.12393522918342,1.12393522918342,0
Missouri,25.0,2008,56.1,58075.0,20.04,Missouri2008,0.0,0.08939294134205988,0.6857658608677293,1.275770435272177,1.275770435272177,0
Montana,27.1,2008,43.7,54117.0,22.72,Montana2008,0.0010645177601481808,0.08261185086551265,1.0134709276520195,1.4118308921438083,1.4118308921438083,0
Nebraska,27.1,2008,49.9,63991.0,19.27,Nebraska2008,0.0,0.10173220862540097,0.9457799691101343,1.4700784127361293,1.4700784127361293,0
Nevada,21.9,2008,51.5,69057.0,29.1,Nevada2008,0.0,0.1019192352711666,0.5440421381193913,1.2633741708934842,1.2633741708934842,0
New Hampshire,33.3,2008,43.1,83478.0,42.89,New Hampshire2008,0.0,0.09486500615006149,0.46351476014760146,1.298988314883149,1.298988314883149,0
New Jersey,34.4,2008,53.4,82381.0,42.31,New Jersey2008,0.0,0.11541241045678668,0.6033877570006512,1.1916969020373989,1.1916969020373989,0
New Mexico,24.7,2008,54.4,53110.0,24.65,New Mexico2008,0.0,0.09066309816936087,0.7255283160261214,1.1834353923562788,1.1834353923562788,0
New York,31.9,2008,45.7,63655.0,48.27,New York2008,0.0,0.11556041977148535,0.4010268670309654,1.1588941670806425,1.1588941670806425,0
North Carolina,26.1,2008,60.1,54155.0,23.34,North Carolina2008,0.0,0.09448243654822336,0.6088162436548223,1.2213391990975748,1.2213391990975748,0
North Dakota,26.9,2008,41.4,62608.0,19.63,North Dakota2008,0.0,0.10447197640117994,1.45656178302196,1.612251720747296,1.612251720747296,0
Ohio,24.1,2008,51.9,59205.0,24.67,Ohio2008,0.0,0.09035719610873716,0.7272944813164833,1.222873897627057,1.222873897627057,0
Oklahoma,22.2,2008,60.3,58167.0,22.93,Oklahoma2008,0.0,0.09450017634610863,0.9301975076416648,1.2853009640253938,1.2853009640253938,0
